id,latitude,longitude,size,stop_time,tw_start,tw_end
D_1,-33.375031,-70.573129,120,661,,
D_2,-33.512889,-70.663583,360,800,,
D_3,-33.384694,-70.575,120,661,,
D_4,-33.509171,-70.658431,240,731,,
D_5,-33.507306,-70.657139,120,661,,
D_6,-33.430361,-70.576361,240,731,,
D_7,-33.390248,-70.528427,240,731,,
D_8,-33.376639,-70.514639,120,661,,
D_9,-33.378332,-70.51873,120,661,,
D_10,-33.384389,-70.526278,240,731,,
D_11,-33.413528,-70.595528,120,661,,
D_12,-33.457086,-70.576128,120,661,,
D_13,-33.435158,-70.61393,120,661,08:00:00,10:00:00
D_14,-33.598844,-70.609996,720,1007,,
D_15,-33.410083,-70.563444,120,661,,
D_16,-33.45431,-70.578176,120,661,,
D_17,-33.415194,-70.593361,120,661,,
D_18,-33.512382,-70.627946,240,731,,
D_19,-33.409102,-70.54063,120,661,,
D_20,-33.463687,-70.576311,120,661,,
D_21,-33.405694,-70.538639,120,661,,
D_22,-33.409528,-70.538806,480,869,,
D_23,-33.423333,-70.563806,120,661,,
D_24,-33.379062,-70.556117,240,731,,
D_25,-33.3139,-70.5727,1320,1353,,
D_26,-33.497385,-70.524781,240,731,,
D_27,-33.392611,-70.543111,240,731,,
D_28,-33.4664,-70.6169,120,661,,
D_29,-33.491546,-70.644944,120,661,,
D_30,-33.417222,-70.564306,240,731,,
D_31,-33.384972,-70.574306,120,661,,
D_32,-33.39082,-70.579412,240,731,,
D_33,-33.440333,-70.580361,240,731,,
D_34,-33.413565,-70.530028,240,731,,
D_35,-33.414287,-70.594886,120,661,,
D_36,-33.435896,-70.608052,120,661,11:30:00,13:00:00
D_37,-33.508428,-70.663867,120,661,,
D_38,-33.384889,-70.57425,360,800,,
D_39,-33.4175,-70.586333,120,661,,
D_40,-33.376694,-70.520472,120,661,,
D_41,-33.395222,-70.5945,120,661,,
D_42,-33.442085,-70.624108,240,731,,
D_43,-33.406608,-70.538289,120,661,,
D_44,-33.468889,-70.536268,240,731,,
D_45,-33.316346,-70.568629,360,800,,
D_46,-33.509594,-70.618326,240,731,,
D_47,-33.51621,-70.64817,480,869,,
D_48,-33.432181,-70.623623,120,661,,
