origin_latitude,origin_longitude,destination_latitude,destination_longitude,distance
-33.5325329703107,-70.75363902386597,-33.5325329703107,-70.75363902386597,0.0
-33.5325329703107,-70.75363902386597,-33.375031,-70.573129,34856.4
-33.5325329703107,-70.75363902386597,-33.512889,-70.663583,12694.4
-33.5325329703107,-70.75363902386597,-33.384694,-70.575,35328.0
-33.5325329703107,-70.75363902386597,-33.509171,-70.658431,13582.0
-33.5325329703107,-70.75363902386597,-33.507306,-70.657139,14702.1
-33.5325329703107,-70.75363902386597,-33.430361,-70.576361,29726.8
-33.5325329703107,-70.75363902386597,-33.390248,-70.528427,36908.3
-33.5325329703107,-70.75363902386597,-33.376639,-70.514639,40325.8
-33.5325329703107,-70.75363902386597,-33.378332,-70.51873,37863.7
-33.5325329703107,-70.75363902386597,-33.384389,-70.526278,36908.9
-33.5325329703107,-70.75363902386597,-33.413528,-70.595528,29892.7
-33.5325329703107,-70.75363902386597,-33.457086,-70.576128,26237.1
-33.5325329703107,-70.75363902386597,-33.435158,-70.61393,24703.1
-33.5325329703107,-70.75363902386597,-33.598844,-70.609996,21717.9
-33.5325329703107,-70.75363902386597,-33.410083,-70.563444,32370.2
-33.5325329703107,-70.75363902386597,-33.45431,-70.578176,26768.3
-33.5325329703107,-70.75363902386597,-33.415194,-70.593361,30079.5
-33.5325329703107,-70.75363902386597,-33.512382,-70.627946,17970.9
-33.5325329703107,-70.75363902386597,-33.409102,-70.54063,34211.0
-33.5325329703107,-70.75363902386597,-33.463687,-70.576311,26066.6
-33.5325329703107,-70.75363902386597,-33.405694,-70.538639,34750.4
-33.5325329703107,-70.75363902386597,-33.409528,-70.538806,34490.4
-33.5325329703107,-70.75363902386597,-33.423333,-70.563806,30681.9
-33.5325329703107,-70.75363902386597,-33.379062,-70.556117,35873.1
-33.5325329703107,-70.75363902386597,-33.3139,-70.5727,45715.5
-33.5325329703107,-70.75363902386597,-33.497385,-70.524781,28898.4
-33.5325329703107,-70.75363902386597,-33.392611,-70.543111,35188.4
-33.5325329703107,-70.75363902386597,-33.4664,-70.6169,19068.6
-33.5325329703107,-70.75363902386597,-33.491546,-70.644944,16275.3
-33.5325329703107,-70.75363902386597,-33.417222,-70.564306,31358.9
-33.5325329703107,-70.75363902386597,-33.384972,-70.574306,35145.9
-33.5325329703107,-70.75363902386597,-33.39082,-70.579412,34133.2
-33.5325329703107,-70.75363902386597,-33.440333,-70.580361,28401.0
-33.5325329703107,-70.75363902386597,-33.413565,-70.530028,34675.8
-33.5325329703107,-70.75363902386597,-33.414287,-70.594886,29845.5
-33.5325329703107,-70.75363902386597,-33.435896,-70.608052,24470.0
-33.5325329703107,-70.75363902386597,-33.508428,-70.663867,13089.9
-33.5325329703107,-70.75363902386597,-33.384889,-70.57425,35135.4
-33.5325329703107,-70.75363902386597,-33.4175,-70.586333,31065.6
-33.5325329703107,-70.75363902386597,-33.376694,-70.520472,40477.5
-33.5325329703107,-70.75363902386597,-33.395222,-70.5945,30948.5
-33.5325329703107,-70.75363902386597,-33.442085,-70.624108,22699.7
-33.5325329703107,-70.75363902386597,-33.406608,-70.538289,34647.0
-33.5325329703107,-70.75363902386597,-33.468889,-70.536268,29438.4
-33.5325329703107,-70.75363902386597,-33.316346,-70.568629,45747.2
-33.5325329703107,-70.75363902386597,-33.509594,-70.618326,17890.3
-33.5325329703107,-70.75363902386597,-33.51621,-70.64817,15204.9
-33.5325329703107,-70.75363902386597,-33.432181,-70.623623,21626.9
-33.375031,-70.573129,-33.5325329703107,-70.75363902386597,33765.4
-33.375031,-70.573129,-33.375031,-70.573129,0.0
-33.375031,-70.573129,-33.512889,-70.663583,23337.1
-33.375031,-70.573129,-33.384694,-70.575,1788.1
-33.375031,-70.573129,-33.509171,-70.658431,23069.3
-33.375031,-70.573129,-33.507306,-70.657139,22886.0
-33.375031,-70.573129,-33.430361,-70.576361,7896.7
-33.375031,-70.573129,-33.390248,-70.528427,5646.4
-33.375031,-70.573129,-33.376639,-70.514639,6860.8
-33.375031,-70.573129,-33.378332,-70.51873,7169.1
-33.375031,-70.573129,-33.384389,-70.526278,5659.6
-33.375031,-70.573129,-33.413528,-70.595528,7692.1
-33.375031,-70.573129,-33.457086,-70.576128,11145.8
-33.375031,-70.573129,-33.435158,-70.61393,10454.3
-33.375031,-70.573129,-33.598844,-70.609996,28561.2
-33.375031,-70.573129,-33.410083,-70.563444,4705.2
-33.375031,-70.573129,-33.45431,-70.578176,10961.2
-33.375031,-70.573129,-33.415194,-70.593361,7879.0
-33.375031,-70.573129,-33.512382,-70.627946,20500.6
-33.375031,-70.573129,-33.409102,-70.54063,6506.0
-33.375031,-70.573129,-33.463687,-70.576311,12028.7
-33.375031,-70.573129,-33.405694,-70.538639,6249.3
-33.375031,-70.573129,-33.409528,-70.538806,6785.4
-33.375031,-70.573129,-33.423333,-70.563806,6182.8
-33.375031,-70.573129,-33.379062,-70.556117,2333.3
-33.375031,-70.573129,-33.3139,-70.5727,11748.4
-33.375031,-70.573129,-33.497385,-70.524781,16853.6
-33.375031,-70.573129,-33.392611,-70.543111,4626.3
-33.375031,-70.573129,-33.4664,-70.6169,14299.7
-33.375031,-70.573129,-33.491546,-70.644944,21051.4
-33.375031,-70.573129,-33.417222,-70.564306,5341.4
-33.375031,-70.573129,-33.384972,-70.574306,1606.0
-33.375031,-70.573129,-33.39082,-70.579412,2445.1
-33.375031,-70.573129,-33.440333,-70.580361,9574.2
-33.375031,-70.573129,-33.413565,-70.530028,7633.3
-33.375031,-70.573129,-33.414287,-70.594886,7645.0
-33.375031,-70.573129,-33.435896,-70.608052,10124.5
-33.375031,-70.573129,-33.508428,-70.663867,22808.9
-33.375031,-70.573129,-33.384889,-70.57425,1595.5
-33.375031,-70.573129,-33.4175,-70.586333,6311.6
-33.375031,-70.573129,-33.376694,-70.520472,7012.5
-33.375031,-70.573129,-33.395222,-70.5945,5096.8
-33.375031,-70.573129,-33.442085,-70.624108,10937.5
-33.375031,-70.573129,-33.406608,-70.538289,6353.3
-33.375031,-70.573129,-33.468889,-70.536268,13333.3
-33.375031,-70.573129,-33.316346,-70.568629,11780.0
-33.375031,-70.573129,-33.509594,-70.618326,20002.5
-33.375031,-70.573129,-33.51621,-70.64817,24731.2
-33.375031,-70.573129,-33.432181,-70.623623,10002.0
-33.512889,-70.663583,-33.5325329703107,-70.75363902386597,13034.8
-33.512889,-70.663583,-33.375031,-70.573129,23311.4
-33.512889,-70.663583,-33.512889,-70.663583,0.0
-33.512889,-70.663583,-33.384694,-70.575,23782.9
-33.512889,-70.663583,-33.509171,-70.658431,888.5
-33.512889,-70.663583,-33.507306,-70.657139,1416.2
-33.512889,-70.663583,-33.430361,-70.576361,16347.4
-33.512889,-70.663583,-33.390248,-70.528427,25363.2
-33.512889,-70.663583,-33.376639,-70.514639,28780.8
-33.512889,-70.663583,-33.378332,-70.51873,26318.6
-33.512889,-70.663583,-33.384389,-70.526278,25363.8
-33.512889,-70.663583,-33.413528,-70.595528,18347.7
-33.512889,-70.663583,-33.457086,-70.576128,15335.0
-33.512889,-70.663583,-33.435158,-70.61393,13409.9
-33.512889,-70.663583,-33.598844,-70.609996,12898.2
-33.512889,-70.663583,-33.410083,-70.563444,21207.7
-33.512889,-70.663583,-33.45431,-70.578176,15866.1
-33.512889,-70.663583,-33.415194,-70.593361,18534.5
-33.512889,-70.663583,-33.512382,-70.627946,3924.7
-33.512889,-70.663583,-33.409102,-70.54063,23419.3
-33.512889,-70.663583,-33.463687,-70.576311,15164.4
-33.512889,-70.663583,-33.405694,-70.538639,23684.2
-33.512889,-70.663583,-33.409528,-70.538806,23698.7
-33.512889,-70.663583,-33.423333,-70.563806,19779.7
-33.512889,-70.663583,-33.379062,-70.556117,24328.1
-33.512889,-70.663583,-33.3139,-70.5727,34170.5
-33.512889,-70.663583,-33.497385,-70.524781,17904.1
-33.512889,-70.663583,-33.392611,-70.543111,23643.4
-33.512889,-70.663583,-33.4664,-70.6169,9223.6
-33.512889,-70.663583,-33.491546,-70.644944,4006.3
-33.512889,-70.663583,-33.417222,-70.564306,21843.8
-33.512889,-70.663583,-33.384972,-70.574306,23600.8
-33.512889,-70.663583,-33.39082,-70.579412,20499.7
-33.512889,-70.663583,-33.440333,-70.580361,17498.8
-33.512889,-70.663583,-33.413565,-70.530028,24792.3
-33.512889,-70.663583,-33.414287,-70.594886,18300.5
-33.512889,-70.663583,-33.435896,-70.608052,13176.8
-33.512889,-70.663583,-33.508428,-70.663867,655.4
-33.512889,-70.663583,-33.384889,-70.57425,23590.3
-33.512889,-70.663583,-33.4175,-70.586333,20696.5
-33.512889,-70.663583,-33.376694,-70.520472,28932.5
-33.512889,-70.663583,-33.395222,-70.5945,19403.4
-33.512889,-70.663583,-33.442085,-70.624108,11406.5
-33.512889,-70.663583,-33.406608,-70.538289,23855.3
-33.512889,-70.663583,-33.468889,-70.536268,18223.7
-33.512889,-70.663583,-33.316346,-70.568629,34202.2
-33.512889,-70.663583,-33.509594,-70.618326,5030.9
-33.512889,-70.663583,-33.51621,-70.64817,2213.9
-33.512889,-70.663583,-33.432181,-70.623623,12122.7
-33.384694,-70.575,-33.5325329703107,-70.75363902386597,32125.4
-33.384694,-70.575,-33.375031,-70.573129,1778.1
-33.384694,-70.575,-33.512889,-70.663583,21697.1
-33.384694,-70.575,-33.384694,-70.575,0.0
-33.384694,-70.575,-33.509171,-70.658431,21429.3
-33.384694,-70.575,-33.507306,-70.657139,21246.0
-33.384694,-70.575,-33.430361,-70.576361,6317.6
-33.384694,-70.575,-33.390248,-70.528427,6099.3
-33.384694,-70.575,-33.376639,-70.514639,7313.7
-33.384694,-70.575,-33.378332,-70.51873,7622.0
-33.384694,-70.575,-33.384389,-70.526278,6112.5
-33.384694,-70.575,-33.413528,-70.595528,5369.8
-33.384694,-70.575,-33.457086,-70.576128,9566.6
-33.384694,-70.575,-33.435158,-70.61393,7831.2
