origin_latitude,origin_longitude,destination_latitude,destination_longitude,time
-33.405694,-70.538639,-33.405694,-70.538639,0.0
-33.405694,-70.538639,-33.512382,-70.627946,2357.41
-33.405694,-70.538639,-33.463687,-70.576311,1617.65
-33.405694,-70.538639,-33.45431,-70.578176,1404.73
-33.405694,-70.538639,-33.376639,-70.514639,774.73
-33.405694,-70.538639,-33.384694,-70.575,985.07
-33.405694,-70.538639,-33.509171,-70.658431,3066.38
-33.405694,-70.538639,-33.409102,-70.54063,140.5
-33.405694,-70.538639,-33.3139,-70.5727,1855.92
-33.405694,-70.538639,-33.392611,-70.543111,348.16
-33.405694,-70.538639,-33.390248,-70.528427,570.67
-33.405694,-70.538639,-33.5325329703107,-70.75363902386597,3046.17
-33.405694,-70.538639,-33.409528,-70.538806,131.71
-33.405694,-70.538639,-33.39082,-70.579412,950.2
-33.405694,-70.538639,-33.509594,-70.618326,2255.15
-33.405694,-70.538639,-33.430361,-70.576361,1024.41
-33.405694,-70.538639,-33.413528,-70.595528,1064.09
-33.405694,-70.538639,-33.395222,-70.5945,1086.08
-33.405694,-70.538639,-33.491546,-70.644944,2799.68
-33.405694,-70.538639,-33.442085,-70.624108,1710.96
-33.405694,-70.538639,-33.457086,-70.576128,1446.45
-33.405694,-70.538639,-33.440333,-70.580361,1244.09
-33.405694,-70.538639,-33.423333,-70.563806,728.08
-33.405694,-70.538639,-33.414287,-70.594886,1030.23
-33.405694,-70.538639,-33.406608,-70.538289,86.87
-33.405694,-70.538639,-33.468889,-70.536268,1233.88
-33.405694,-70.538639,-33.51621,-70.64817,3014.61
-33.405694,-70.538639,-33.598844,-70.609996,3018.97
-33.405694,-70.538639,-33.417222,-70.564306,664.41
-33.405694,-70.538639,-33.435158,-70.61393,1587.28
-33.405694,-70.538639,-33.432181,-70.623623,1602.59
-33.405694,-70.538639,-33.376694,-70.520472,841.44
-33.405694,-70.538639,-33.512889,-70.663583,3054.23
-33.405694,-70.538639,-33.508428,-70.663867,3064.2
-33.405694,-70.538639,-33.4175,-70.586333,1030.88
-33.405694,-70.538639,-33.316346,-70.568629,1863.26
-33.405694,-70.538639,-33.378332,-70.51873,791.14
-33.405694,-70.538639,-33.410083,-70.563444,532.03
-33.405694,-70.538639,-33.435896,-70.608052,1497.31
-33.405694,-70.538639,-33.413565,-70.530028,332.59
-33.405694,-70.538639,-33.4664,-70.6169,2251.91
-33.405694,-70.538639,-33.507306,-70.657139,3050.34
-33.405694,-70.538639,-33.384972,-70.574306,946.92
-33.405694,-70.538639,-33.384889,-70.57425,946.92
-33.405694,-70.538639,-33.379062,-70.556117,652.66
-33.405694,-70.538639,-33.415194,-70.593361,1055.57
-33.405694,-70.538639,-33.497385,-70.524781,1700.17
-33.405694,-70.538639,-33.375031,-70.573129,1079.95
-33.405694,-70.538639,-33.384389,-70.526278,593.37
-33.512382,-70.627946,-33.405694,-70.538639,2696.43
-33.512382,-70.627946,-33.512382,-70.627946,0.0
-33.512382,-70.627946,-33.463687,-70.576311,1205.3
-33.512382,-70.627946,-33.45431,-70.578176,1311.45
-33.512382,-70.627946,-33.376639,-70.514639,2929.75
-33.512382,-70.627946,-33.384694,-70.575,2736.53
-33.512382,-70.627946,-33.509171,-70.658431,808.04
-33.512382,-70.627946,-33.409102,-70.54063,2584.95
-33.512382,-70.627946,-33.3139,-70.5727,3953.27
-33.512382,-70.627946,-33.392611,-70.543111,2808.63
-33.512382,-70.627946,-33.390248,-70.528427,3019.27
-33.512382,-70.627946,-33.5325329703107,-70.75363902386597,1668.47
-33.512382,-70.627946,-33.409528,-70.538806,2631.88
-33.512382,-70.627946,-33.39082,-70.579412,2588.81
-33.512382,-70.627946,-33.509594,-70.618326,238.13
-33.512382,-70.627946,-33.430361,-70.576361,1783.03
-33.512382,-70.627946,-33.413528,-70.595528,2367.64
-33.512382,-70.627946,-33.395222,-70.5945,2480.91
-33.512382,-70.627946,-33.491546,-70.644944,653.83
-33.512382,-70.627946,-33.442085,-70.624108,1548.75
-33.512382,-70.627946,-33.457086,-70.576128,1191.63
-33.512382,-70.627946,-33.440333,-70.580361,1578.11
-33.512382,-70.627946,-33.423333,-70.563806,2156.87
-33.512382,-70.627946,-33.414287,-70.594886,2329.44
-33.512382,-70.627946,-33.406608,-70.538289,2674.36
-33.512382,-70.627946,-33.468889,-70.536268,1764.52
-33.512382,-70.627946,-33.51621,-70.64817,528.86
-33.512382,-70.627946,-33.598844,-70.609996,1573.11
-33.512382,-70.627946,-33.417222,-70.564306,2235.86
-33.512382,-70.627946,-33.435158,-70.61393,1914.9
-33.512382,-70.627946,-33.432181,-70.623623,1780.81
-33.512382,-70.627946,-33.376694,-70.520472,2966.05
-33.512382,-70.627946,-33.512889,-70.663583,811.71
-33.512382,-70.627946,-33.508428,-70.663867,811.93
-33.512382,-70.627946,-33.4175,-70.586333,2208.56
-33.512382,-70.627946,-33.316346,-70.568629,3919.42
-33.512382,-70.627946,-33.378332,-70.51873,2936.58
-33.512382,-70.627946,-33.410083,-70.563444,2417.15
-33.512382,-70.627946,-33.435896,-70.608052,1754.84
-33.512382,-70.627946,-33.413565,-70.530028,2708.37
-33.512382,-70.627946,-33.4664,-70.6169,960.53
-33.512382,-70.627946,-33.507306,-70.657139,797.0
-33.512382,-70.627946,-33.384972,-70.574306,2698.62
-33.512382,-70.627946,-33.384889,-70.57425,2699.3
-33.512382,-70.627946,-33.379062,-70.556117,2913.63
-33.512382,-70.627946,-33.415194,-70.593361,2367.73
-33.512382,-70.627946,-33.497385,-70.524781,1717.16
-33.512382,-70.627946,-33.375031,-70.573129,2920.39
-33.512382,-70.627946,-33.384389,-70.526278,3102.83
-33.463687,-70.576311,-33.405694,-70.538639,1576.54
-33.463687,-70.576311,-33.512382,-70.627946,1019.43
-33.463687,-70.576311,-33.463687,-70.576311,0.0
-33.463687,-70.576311,-33.45431,-70.578176,376.6
-33.463687,-70.576311,-33.376639,-70.514639,2149.38
-33.463687,-70.576311,-33.384694,-70.575,1861.65
-33.463687,-70.576311,-33.509171,-70.658431,1414.81
-33.463687,-70.576311,-33.409102,-70.54063,1475.72
-33.463687,-70.576311,-33.3139,-70.5727,3016.47
-33.463687,-70.576311,-33.392611,-70.543111,1681.69
-33.463687,-70.576311,-33.390248,-70.528427,1878.38
-33.463687,-70.576311,-33.5325329703107,-70.75363902386597,1730.69
-33.463687,-70.576311,-33.409528,-70.538806,1518.29
-33.463687,-70.576311,-33.39082,-70.579412,1667.0
-33.463687,-70.576311,-33.509594,-70.618326,917.72
-33.463687,-70.576311,-33.430361,-70.576361,1121.79
-33.463687,-70.576311,-33.413528,-70.595528,1321.34
-33.463687,-70.576311,-33.395222,-70.5945,1559.44
-33.463687,-70.576311,-33.491546,-70.644944,1304.27
-33.463687,-70.576311,-33.442085,-70.624108,1049.64
-33.463687,-70.576311,-33.457086,-70.576128,311.19
-33.463687,-70.576311,-33.440333,-70.580361,767.19
-33.463687,-70.576311,-33.423333,-70.563806,1085.54
-33.463687,-70.576311,-33.414287,-70.594886,1291.71
-33.463687,-70.576311,-33.406608,-70.538289,1556.85
-33.463687,-70.576311,-33.468889,-70.536268,782.08
-33.463687,-70.576311,-33.51621,-70.64817,1367.63
-33.463687,-70.576311,-33.598844,-70.609996,1555.72
-33.463687,-70.576311,-33.417222,-70.564306,1157.76
-33.463687,-70.576311,-33.435158,-70.61393,1104.4
-33.463687,-70.576311,-33.432181,-70.623623,1306.1
-33.463687,-70.576311,-33.376694,-70.520472,2187.62
-33.463687,-70.576311,-33.512889,-70.663583,1403.56
-33.463687,-70.576311,-33.508428,-70.663867,1411.51
-33.463687,-70.576311,-33.4175,-70.586333,1181.09
-33.463687,-70.576311,-33.316346,-70.568629,3023.66
-33.463687,-70.576311,-33.378332,-70.51873,2155.98
-33.463687,-70.576311,-33.410083,-70.563444,1323.28
-33.463687,-70.576311,-33.435896,-70.608052,950.74
-33.463687,-70.576311,-33.413565,-70.530028,1588.06
-33.463687,-70.576311,-33.4664,-70.6169,800.23
-33.463687,-70.576311,-33.507306,-70.657139,1399.76
-33.463687,-70.576311,-33.384972,-70.574306,1771.84
-33.463687,-70.576311,-33.384889,-70.57425,1772.84
-33.463687,-70.576311,-33.379062,-70.556117,1997.79
-33.463687,-70.576311,-33.415194,-70.593361,1311.84
-33.463687,-70.576311,-33.497385,-70.524781,1120.17
-33.463687,-70.576311,-33.375031,-70.573129,2087.2
-33.463687,-70.576311,-33.384389,-70.526278,1954.42
-33.45431,-70.578176,-33.405694,-70.538639,1418.96
-33.45431,-70.578176,-33.512382,-70.627946,1268.83
-33.45431,-70.578176,-33.463687,-70.576311,398.32
-33.45431,-70.578176,-33.45431,-70.578176,0.0
-33.45431,-70.578176,-33.376639,-70.514639,1989.82
-33.45431,-70.578176,-33.384694,-70.575,1692.44
-33.45431,-70.578176,-33.509171,-70.658431,1660.24
-33.45431,-70.578176,-33.409102,-70.54063,1318.13
-33.45431,-70.578176,-33.3139,-70.5727,2865.71
-33.45431,-70.578176,-33.392611,-70.543111,1535.41
-33.45431,-70.578176,-33.390248,-70.528427,1729.0
-33.45431,-70.578176,-33.5325329703107,-70.75363902386597,1988.6
-33.45431,-70.578176,-33.409528,-70.538806,1360.71
-33.45431,-70.578176,-33.39082,-70.579412,1512.07
-33.45431,-70.578176,-33.509594,-70.618326,1167.12
-33.45431,-70.578176,-33.430361,-70.576361,857.41
-33.45431,-70.578176,-33.413528,-70.595528,1063.29
-33.45431,-70.578176,-33.395222,-70.5945,1338.44
-33.45431,-70.578176,-33.491546,-70.644944,1546.41
-33.45431,-70.578176,-33.442085,-70.624108,805.61
-33.45431,-70.578176,-33.457086,-70.576128,142.59
-33.45431,-70.578176,-33.440333,-70.580361,471.26
-33.45431,-70.578176,-33.423333,-70.563806,930.92
-33.45431,-70.578176,-33.414287,-70.594886,1036.66
-33.45431,-70.578176,-33.406608,-70.538289,1399.27
