origin_latitude,origin_longitude,destination_latitude,destination_longitude,time
-33.5325329703107,-70.75363902386597,-33.5325329703107,-70.75363902386597,0.0
-33.5325329703107,-70.75363902386597,-33.375031,-70.573129,2031.5
-33.5325329703107,-70.75363902386597,-33.512889,-70.663583,893.2
-33.5325329703107,-70.75363902386597,-33.384694,-70.575,2072.8
-33.5325329703107,-70.75363902386597,-33.509171,-70.658431,1002.3
-33.5325329703107,-70.75363902386597,-33.507306,-70.657139,1003.9
-33.5325329703107,-70.75363902386597,-33.430361,-70.576361,1676.3
-33.5325329703107,-70.75363902386597,-33.390248,-70.528427,2207.8
-33.5325329703107,-70.75363902386597,-33.376639,-70.514639,2295.7
-33.5325329703107,-70.75363902386597,-33.378332,-70.51873,2303.1
-33.5325329703107,-70.75363902386597,-33.384389,-70.526278,2217.9
-33.5325329703107,-70.75363902386597,-33.413528,-70.595528,1847.2
-33.5325329703107,-70.75363902386597,-33.457086,-70.576128,1355.6
-33.5325329703107,-70.75363902386597,-33.435158,-70.61393,1729.7
-33.5325329703107,-70.75363902386597,-33.598844,-70.609996,1316.9
-33.5325329703107,-70.75363902386597,-33.410083,-70.563444,1901.9
-33.5325329703107,-70.75363902386597,-33.45431,-70.578176,1420.8
-33.5325329703107,-70.75363902386597,-33.415194,-70.593361,1858.2
-33.5325329703107,-70.75363902386597,-33.512382,-70.627946,1207.4
-33.5325329703107,-70.75363902386597,-33.409102,-70.54063,1955.8
-33.5325329703107,-70.75363902386597,-33.463687,-70.576311,1378.2
-33.5325329703107,-70.75363902386597,-33.405694,-70.538639,2058.6
-33.5325329703107,-70.75363902386597,-33.409528,-70.538806,1986.9
-33.5325329703107,-70.75363902386597,-33.423333,-70.563806,1744.2
-33.5325329703107,-70.75363902386597,-33.379062,-70.556117,2094.9
-33.5325329703107,-70.75363902386597,-33.3139,-70.5727,2959.2
-33.5325329703107,-70.75363902386597,-33.497385,-70.524781,1677.5
-33.5325329703107,-70.75363902386597,-33.392611,-70.543111,2122.1
-33.5325329703107,-70.75363902386597,-33.4664,-70.6169,1327.8
-33.5325329703107,-70.75363902386597,-33.491546,-70.644944,1087.2
-33.5325329703107,-70.75363902386597,-33.417222,-70.564306,1807.0
-33.5325329703107,-70.75363902386597,-33.384972,-70.574306,2038.7
-33.5325329703107,-70.75363902386597,-33.39082,-70.579412,1978.4
-33.5325329703107,-70.75363902386597,-33.440333,-70.580361,1570.0
-33.5325329703107,-70.75363902386597,-33.413565,-70.530028,2013.7
-33.5325329703107,-70.75363902386597,-33.414287,-70.594886,1825.0
-33.5325329703107,-70.75363902386597,-33.435896,-70.608052,1671.2
-33.5325329703107,-70.75363902386597,-33.508428,-70.663867,941.1
-33.5325329703107,-70.75363902386597,-33.384889,-70.57425,2037.7
-33.5325329703107,-70.75363902386597,-33.4175,-70.586333,1748.6
-33.5325329703107,-70.75363902386597,-33.376694,-70.520472,2423.6
-33.5325329703107,-70.75363902386597,-33.395222,-70.5945,1931.2
-33.5325329703107,-70.75363902386597,-33.442085,-70.624108,1537.1
-33.5325329703107,-70.75363902386597,-33.406608,-70.538289,2040.3
-33.5325329703107,-70.75363902386597,-33.468889,-70.536268,1680.7
-33.5325329703107,-70.75363902386597,-33.316346,-70.568629,3050.2
-33.5325329703107,-70.75363902386597,-33.509594,-70.618326,1257.9
-33.5325329703107,-70.75363902386597,-33.51621,-70.64817,1124.2
-33.5325329703107,-70.75363902386597,-33.432181,-70.623623,1597.0
-33.375031,-70.573129,-33.5325329703107,-70.75363902386597,1986.4
-33.375031,-70.573129,-33.375031,-70.573129,0.0
-33.375031,-70.573129,-33.512889,-70.663583,1399.6
-33.375031,-70.573129,-33.384694,-70.575,188.4
-33.375031,-70.573129,-33.509171,-70.658431,1395.1
-33.375031,-70.573129,-33.507306,-70.657139,1381.1
-33.375031,-70.573129,-33.430361,-70.576361,648.8
-33.375031,-70.573129,-33.390248,-70.528427,437.7
-33.375031,-70.573129,-33.376639,-70.514639,472.3
-33.375031,-70.573129,-33.378332,-70.51873,494.6
-33.375031,-70.573129,-33.384389,-70.526278,469.5
-33.375031,-70.573129,-33.413528,-70.595528,542.6
-33.375031,-70.573129,-33.457086,-70.576128,910.1
-33.375031,-70.573129,-33.435158,-70.61393,743.8
-33.375031,-70.573129,-33.598844,-70.609996,1906.6
-33.375031,-70.573129,-33.410083,-70.563444,356.5
-33.375031,-70.573129,-33.45431,-70.578176,874.1
-33.375031,-70.573129,-33.415194,-70.593361,553.6
-33.375031,-70.573129,-33.512382,-70.627946,1492.8
-33.375031,-70.573129,-33.409102,-70.54063,527.2
-33.375031,-70.573129,-33.463687,-70.576311,1007.9
-33.375031,-70.573129,-33.405694,-70.538639,551.5
-33.375031,-70.573129,-33.409528,-70.538806,558.3
-33.375031,-70.573129,-33.423333,-70.563806,493.5
-33.375031,-70.573129,-33.379062,-70.556117,210.5
-33.375031,-70.573129,-33.3139,-70.5727,1063.6
-33.375031,-70.573129,-33.497385,-70.524781,1372.7
-33.375031,-70.573129,-33.392611,-70.543111,409.5
-33.375031,-70.573129,-33.4664,-70.6169,1082.2
-33.375031,-70.573129,-33.491546,-70.644944,1270.8
-33.375031,-70.573129,-33.417222,-70.564306,414.7
-33.375031,-70.573129,-33.384972,-70.574306,154.3
-33.375031,-70.573129,-33.39082,-70.579412,230.5
-33.375031,-70.573129,-33.440333,-70.580361,750.0
-33.375031,-70.573129,-33.413565,-70.530028,645.2
-33.375031,-70.573129,-33.414287,-70.594886,520.4
-33.375031,-70.573129,-33.435896,-70.608052,667.8
-33.375031,-70.573129,-33.508428,-70.663867,1348.2
-33.375031,-70.573129,-33.384889,-70.57425,153.3
-33.375031,-70.573129,-33.4175,-70.586333,493.5
-33.375031,-70.573129,-33.376694,-70.520472,600.2
-33.375031,-70.573129,-33.395222,-70.5945,391.8
-33.375031,-70.573129,-33.442085,-70.624108,708.9
-33.375031,-70.573129,-33.406608,-70.538289,563.0
-33.375031,-70.573129,-33.468889,-70.536268,1062.6
-33.375031,-70.573129,-33.316346,-70.568629,1154.6
-33.375031,-70.573129,-33.509594,-70.618326,1514.0
-33.375031,-70.573129,-33.51621,-70.64817,1511.8
-33.375031,-70.573129,-33.432181,-70.623623,621.4
-33.512889,-70.663583,-33.5325329703107,-70.75363902386597,940.5
-33.512889,-70.663583,-33.375031,-70.573129,1398.8
-33.512889,-70.663583,-33.512889,-70.663583,0.0
-33.512889,-70.663583,-33.384694,-70.575,1440.1
-33.512889,-70.663583,-33.509171,-70.658431,123.4
-33.512889,-70.663583,-33.507306,-70.657139,161.7
-33.512889,-70.663583,-33.430361,-70.576361,1293.3
-33.512889,-70.663583,-33.390248,-70.528427,1575.1
-33.512889,-70.663583,-33.376639,-70.514639,1663.0
-33.512889,-70.663583,-33.378332,-70.51873,1670.4
-33.512889,-70.663583,-33.384389,-70.526278,1585.2
-33.512889,-70.663583,-33.413528,-70.595528,1214.5
-33.512889,-70.663583,-33.457086,-70.576128,1012.3
-33.512889,-70.663583,-33.435158,-70.61393,1083.4
-33.512889,-70.663583,-33.598844,-70.609996,1023.5
-33.512889,-70.663583,-33.410083,-70.563444,1329.9
