origin_latitude,origin_longitude,destination_latitude,destination_longitude,distance
-37.509578,-72.324378,-37.509578,-72.324378,0.0
-37.509578,-72.324378,-37.721883,-72.242093,29180.0
-37.509578,-72.324378,-36.771816,-73.072289,134110.0
-37.509578,-72.324378,-36.76757,-73.170556,141352.0
-37.509578,-72.324378,-36.609082,-72.089984,115110.0
-37.509578,-72.324378,-36.740363,-73.086466,138102.0
-37.509578,-72.324378,-36.819024,-73.015189,125759.0
-37.509578,-72.324378,-36.61102,-72.14123,114569.0
-37.509578,-72.324378,-36.770144,-73.070805,134785.0
-37.509578,-72.324378,-36.781749,-73.04948,133354.0
-37.509578,-72.324378,-36.816597,-73.052815,130106.0
-37.509578,-72.324378,-36.772283,-73.072209,134095.0
-37.509578,-72.324378,-36.770272,-73.112648,136779.0
-37.509578,-72.324378,-36.606583,-72.093361,119791.0
-37.509578,-72.324378,-37.588438,-72.522636,40203.0
-37.509578,-72.324378,-36.812569,-72.98646,122854.0
-37.509578,-72.324378,-36.812439,-72.984494,122624.0
-37.509578,-72.324378,-37.50773,-72.65855,40430.0
-37.509578,-72.324378,-36.768983,-73.065041,134613.0
-37.509578,-72.324378,-36.72478,-73.11698,142125.0
-37.509578,-72.324378,-37.064816,-73.143376,166229.0
-37.509578,-72.324378,-36.776402,-73.070793,133638.0
-37.509578,-72.324378,-37.494738,-72.689428,43781.0
-37.509578,-72.324378,-36.98703,-73.154185,157638.0
-37.509578,-72.324378,-37.45165,-72.31711,7234.0
-37.509578,-72.324378,-37.585296,-72.530171,39497.0
-37.509578,-72.324378,-36.76041757605908,-73.11913649598887,137303.0
-37.509578,-72.324378,-36.813251,-72.986397,122891.0
-37.509578,-72.324378,-36.58806,-72.109159,114605.0
-37.509578,-72.324378,-36.813446,-72.988075,123021.0
-37.509578,-72.324378,-37.7255,-72.23291,29932.0
-37.509578,-72.324378,-36.865028,-73.140282,143272.0
-37.509578,-72.324378,-36.812021,-72.98557,122757.0
-37.509578,-72.324378,-36.740686,-73.100096,138445.0
-37.509578,-72.324378,-36.768515,-73.070135,134966.0
-37.509578,-72.324378,-36.807167,-73.059194,130967.0
-37.509578,-72.324378,-37.497405,-72.690595,43440.0
-37.509578,-72.324378,-37.171998,-72.941238,93865.0
-37.509578,-72.324378,-36.773099,-73.070813,134281.0
-37.509578,-72.324378,-37.46511,-72.35953,8478.0
-37.509578,-72.324378,-37.724711,-72.243313,29075.0
-37.509578,-72.324378,-36.757002,-73.086109,135907.0
-37.509578,-72.324378,-36.817257,-73.056558,130330.0
-37.509578,-72.324378,-36.609129,-72.081673,115802.0
-37.509578,-72.324378,-36.83075,-73.043832,130308.0
-37.509578,-72.324378,-37.506428,-72.676097,41981.0
-37.509578,-72.324378,-37.730837,-72.230996,30412.0
-37.509578,-72.324378,-36.771171,-73.068304,134666.0
-37.509578,-72.324378,-36.623575,-72.145592,109796.0
-37.509578,-72.324378,-36.789249,-73.086064,135089.0
-37.509578,-72.324378,-36.780194,-73.039472,131982.0
-37.509578,-72.324378,-36.817249,-73.005116,124920.0
-37.509578,-72.324378,-36.583027,-72.064305,123304.0
-37.509578,-72.324378,-36.814119,-73.066244,131256.0
-37.509578,-72.324378,-37.72436,-72.25464,27776.0
-37.509578,-72.324378,-36.78114,-73.080702,133203.0
-37.509578,-72.324378,-36.772954,-73.071221,134234.0
-37.509578,-72.324378,-37.016634,-72.988122,126748.0
-37.509578,-72.324378,-36.604363,-72.07464,121323.5
-37.509578,-72.324378,-37.452955,-72.333208,8415.0
-37.509578,-72.324378,-36.972856,-73.160925,156768.0
-37.509578,-72.324378,-36.811893,-72.988571,123420.0
-37.509578,-72.324378,-36.812068,-72.9877,123168.0
-37.509578,-72.324378,-36.593861,-72.109889,113949.0
-37.509578,-72.324378,-36.822218,-73.023208,126648.0
-37.509578,-72.324378,-36.82763,-73.124922,139212.5
-37.509578,-72.324378,-36.741944,-73.089538,138019.0
-37.509578,-72.324378,-36.772319,-73.069426,134407.0
-37.509578,-72.324378,-36.765724,-73.11586,137046.0
-37.509578,-72.324378,-36.773458,-73.068346,134512.0
-37.509578,-72.324378,-37.459261,-72.325544,5743.0
-37.509578,-72.324378,-36.826386,-73.0065,125558.0
-37.509578,-72.324378,-36.81699,-72.998512,125579.0
-37.509578,-72.324378,-36.598015,-72.112228,113477.0
-37.509578,-72.324378,-36.978472,-73.175111,156584.0
-37.509578,-72.324378,-36.948777,-73.155829,154105.0
-37.509578,-72.324378,-36.813056,-72.989,123124.0
-37.509578,-72.324378,-36.81399,-72.98693,122952.0
-37.509578,-72.324378,-37.174398,-72.95592,94866.0
-37.509578,-72.324378,-36.771389,-73.072139,134149.0
-37.509578,-72.324378,-36.9788,-72.964362,146129.0
-37.509578,-72.324378,-37.219722,-72.385389,36702.0
-37.509578,-72.324378,-36.976381,-73.17241,156610.0
-37.509578,-72.324378,-36.608158,-72.113073,113077.0
-37.509578,-72.324378,-36.820135,-73.04439,128777.0
-37.509578,-72.324378,-37.49783,-72.68415,43565.0
-37.509578,-72.324378,-36.781226,-73.080261,133401.0
-37.509578,-72.324378,-36.757782,-73.086693,135746.0
-37.509578,-72.324378,-36.764554,-73.085437,135581.0
-37.509578,-72.324378,-37.488665,-72.286309,6931.0
-37.509578,-72.324378,-36.707021,-72.271667,94432.0
-37.509578,-72.324378,-37.064173,-73.142886,166147.0
-37.509578,-72.324378,-36.852045,-73.132642,141041.0
-37.509578,-72.324378,-36.84693,-73.13719,141045.0
-37.509578,-72.324378,-36.787814,-73.080803,134234.0
-37.509578,-72.324378,-36.971103,-73.168196,155286.0
-37.509578,-72.324378,-36.767422,-73.170858,141359.0
-37.509578,-72.324378,-36.799591,-73.109519,136870.0
-37.509578,-72.324378,-36.77148,-73.071198,134307.0
-37.509578,-72.324378,-36.852506,-73.13176,143458.0
-37.509578,-72.324378,-36.832423,-73.105238,136901.0
-37.509578,-72.324378,-36.821515,-73.027222,127074.0
-37.509578,-72.324378,-36.858627,-73.139144,142306.0
-37.509578,-72.324378,-36.77338,-73.072289,133999.0
-37.509578,-72.324378,-36.613731,-72.075998,116036.0
-37.509578,-72.324378,-36.740205,-73.091431,138242.0
-37.509578,-72.324378,-36.774248,-73.070751,134163.0
-37.509578,-72.324378,-36.768661,-73.075894,134328.0
-37.509578,-72.324378,-36.7834,-73.038287,132204.0
-37.721883,-72.242093,-37.509578,-72.324378,26432.0
-37.721883,-72.242093,-37.721883,-72.242093,0.0
-37.721883,-72.242093,-36.771816,-73.072289,164874.0
-37.721883,-72.242093,-36.76757,-73.170556,172116.0
-37.721883,-72.242093,-36.609082,-72.089984,145874.0
-37.721883,-72.242093,-36.740363,-73.086466,168866.0
-37.721883,-72.242093,-36.819024,-73.015189,156523.0
-37.721883,-72.242093,-36.61102,-72.14123,145333.0
-37.721883,-72.242093,-36.770144,-73.070805,165549.0
-37.721883,-72.242093,-36.781749,-73.04948,164118.0
-37.721883,-72.242093,-36.816597,-73.052815,160870.0
-37.721883,-72.242093,-36.772283,-73.072209,164859.0
-37.721883,-72.242093,-36.770272,-73.112648,167543.0
-37.721883,-72.242093,-36.606583,-72.093361,150555.0
-37.721883,-72.242093,-37.588438,-72.522636,32735.0
-37.721883,-72.242093,-36.812569,-72.98646,153618.0
-37.721883,-72.242093,-36.812439,-72.984494,153388.0
-37.721883,-72.242093,-37.50773,-72.65855,61788.0
-37.721883,-72.242093,-36.768983,-73.065041,165377.0
-37.721883,-72.242093,-36.72478,-73.11698,172889.0
-37.721883,-72.242093,-37.064816,-73.143376,196993.0
-37.721883,-72.242093,-36.776402,-73.070793,164402.0
